	Product Name	Prices	Tag
0	THE MAN COMPANY Luxury Perfume Set with Rouge, Firewood...	₹379	For Men & Women
1	THE MAN COMPANY Body Perfume Trio Set - (Noir Body Perf...	₹848	For Men
2	FOGG Scent Impressio Eau de Parfum  -  100 ml	₹310	For Men
3	ENVY Combo Perfume For Men 60ML + 60ML Eau de Parfum  -...	₹309	For Men
4	ENVY Women Eau de Parfum  -  60 ml	₹179	For Women
5	FOGG Scent XPRESSIO Eau de Parfum  -  100 ml	₹304	For Men
6	ENVY Combo Perfume For Men and Women 60ML + 60ML Eau de...	₹313	For Men & Women
7	THE MAN COMPANY Blanc & Rouge Body Perfume Combo Set Pe...	₹579	For Men & Women
8	FOGG Scent I AM QUEEN Eau de Parfum  -  100 ml	₹377	For Women
9	Wild Stone Night Rider and Red Perfume Combo (30ml each...	₹498	For Men
10	FOGG Scent Xtermo 50ml Eau de Parfum  -  50 ml	₹270	For Men
11	GUESS Girl Eau de Toilette  -  100 ml	₹2,527	For Women
12	FOGG Scent XTREMO Eau de Parfum  -  100 ml	₹300	For Men
13	FOGG Scent Impressio 50ml Eau de Parfum  -  50 ml	₹259	For Men
14	DENVER Hamilton Perfume Eau de Parfum  -  60 ml	₹220	For Men
15	secret temptation Adore Eau de Parfum  -  50 ml	₹200	For Women
16	ENVY Men Perfume Eau de Parfum  -  30 ml	₹128	For Men
17	Wild Stone Ultra Sensual Eau de Parfum  -  50 ml	₹266	For Men
18	ENVY Perfume For Men Eau de Parfum  -  60 ml	₹199	For Men
19	THE MAN COMPANY Luxury Perfume Set with Bleu, Talc for ...	₹379	For Men & Women
20	DENVER SRK Autograph Collection- Intense Oud Eau de Par...	₹764	For Men
21	FOGG Scent Neroli 50ml Eau de Parfum  -  50 ml	₹323	For Women
22	FOGG Scent Expressio 50ml Eau de Parfum  -  50 ml	₹270	For Men
23	USTRAA Cologne Spray Base Camp Perfume  -  100 ml	₹519	For Men
24	THE MAN COMPANY Firewood Eau De Parfum Eau de Parfum  -...	₹199	For Men
25	SKINN by TITAN Raw - Single Pack Eau de Parfum  -  20 m...	₹595	For Men
26	Wild Stone Edge Perfume Eau de Parfum  -  50 ml	₹258	For Men
27	THE MAN COMPANY Body Perfume - Blanc Pack of 2 Perfume ...	₹579	For Men
28	ENVY Men Perfume 30 ml(Pack of 4) Eau de Parfum  -  120...	₹399	For Men
29	SKINN by TITAN Nude - Single Pack Eau de Parfum  -  20 ...	₹545	For Women
30	BEARDO Whisky Smoke EDP 100 ml Eau de Parfum  -  100 ml	₹599	For Men
31	POLICE To Be King Eau de Toilette  -  125 ml	₹1,910	For Men
32	DENVER Hamilton Gift Set (Perfume 60 ML+Deo 165 ML) Per...	₹375	For Men
33	Ajmal Carbon Eau de Parfum  -  100 ml	₹900	For Men
34	THE MAN COMPANY Bravio EDT Eau de Toilette  -  30 ml	₹199	For Men
35	USTRAA Cologne for Men- After Dark Perfume  -  100 ml	₹519	For Men
36	THE MAN COMPANY Talc Eau De Parfum Eau de Parfum  -  30...	₹199	For Men
37	DENVER Black Code Pocket Perfume (Pack of 3) Eau de Par...	₹164	For Men
38	JAGUAR Classic Black Eau de Toilette  -  100 ml	₹1,584	For Men
39	JAGUAR Classic Blue Eau de Toilette  -  100 ml	₹1,947	For Men
40	ST-JOHN Cobra Parfum 50ml (pack of 2) Eau de Parfum  - ...	₹315	For Men & Women
41	DENVER Hamilton Eau de Parfum  -  100 ml	₹315	For Men
42	La French Party Girl Perfume, with Long Lasting Premium...	₹500	For Women
43	THE MAN COMPANY Bravio EDT Eau de Toilette  -  30 ml	₹199	For Men
44	DENVER SRK Autograph Collection- White Leather Eau de P...	₹899	For Men
45	FOGG Scent Rose 50ml Eau de Parfum  -  50 ml	₹323	For Women
46	Body Cupid Aqua Wave - Unisex Eau de Parfum  -  100 ml	₹399	For Men & Women
47	THE MAN COMPANY Luxury Perfume Set with Rouge, Firewood...	₹379	For Men & Women
48	TOMMY HILFIGER For Men Eau de Toilette  -  50 ml	₹1,736	For Men
49	BEARDO Godfather Perfume for Men Eau de Parfum  -  100 ...	₹549	For Men
50	USTRAA Cologne Spray - Scuba (100 ml) Perfume  -  100 m...	₹519	For Men
51	THE MAN COMPANY Luxury Perfume Set with Blanc, Firewood...	₹379	For Men & Women
52	Body Cupid Raspberry Burst Body Mist - 100 ml Perfume  ...	₹225	For Men & Women
53	Villain OUD Eau De Parfum For Men Eau de Parfum  -  100...	₹525	For Men
54	BEARDO Dark Side Perfume For Men, 100 ml | EAU DE PARFU...	₹576	For Men
55	THE MAN COMPANY Body Perfume Trio Set - (Noir Body Perf...	₹848	For Men
56	Ajmal FRICTION Eau de Parfum  -  100 ml	₹539	For Men
57	ENVY Bold Eau de Parfum  -  60 ml	₹199	For Men
58	Villain Eau de Parfum  -  20 ml	₹349	For Men
59	THE MAN COMPANY Blanc & Rouge Body Perfume Combo Set Pe...	₹579	For Men & Women
60	Villain Party Combo Eau de Parfum  -  200 ml	₹975	For Men
61	secret temptation Romance Eau de Parfum  -  100 ml	₹350	For Women
62	SKINN by TITAN Verge - Single Pack Eau de Parfum  -  20...	₹595	For Men
63	THE MAN COMPANY Ombre Eau de Parfum  -  30 ml	₹253	For Men
64	Ajmal Gianna Eau De Parfume 100ML for Women Perfume + 2...	₹900	For Women
65	SKINN by TITAN Sheer - Single Pack Eau de Parfum  -  20...	₹595	For Women
66	ST-JOHN Cobra Perfume (50 ml) & Archies Black Platinum ...	₹320	For Men
67	GUESS Girl Eau de Toilette  -  100 ml	₹2,527	For Women
68	FOGG Scent Lilies 50ml Eau de Parfum  -  50 ml	₹323	For Women
69	Wild Stone Hydra Energy Perfume Eau de Parfum  -  50 ml	₹240	For Men
70	THE MAN COMPANY Body Perfume Trio (Blanc, Rouge and Ble...	₹799	For Men
71	THE MAN COMPANY Talc Eau De Parfum Eau de Parfum  -  30...	₹199	For Men
72	MARYAJ WildStripes Eau de Parfum  -  100 ml	₹419	For Men
73	SKINN by TITAN Verge & Sheer Eau de Parfum  -  50 ml	₹1,595	For Men & Women
74	BEARDO Black Musk EDP 100 ml Eau de Parfum  -  100 ml	₹588	For Men
75	secret temptation Adore Eau de Parfum  -  50 ml	₹200	For Women
76	SKINN by TITAN sheer Eau de Parfum  -  50 ml	₹1,595	For Women
77	Ajmal Titanium EDP Citrus Spicy Perfume 100ml for Men a...	₹2,625	For Men
78	DENVER Black Code Perfume Eau de Parfum  -  60 ml	₹180	For Men
79	THE MAN COMPANY Luxury Perfume Set with Bleu, Talc for ...	₹379	For Men & Women
80	DENVER Hamilton Imperial Eau de Parfum  -  60 ml	₹219	For Men
81	Wild Stone Ultra Sensual Perfume  -  50 ml	₹248	For Men
82	La French Dream Girl Perfume, with Long Lasting Premium...	₹500	For Women
83	THE MAN COMPANY Bravio EDT Eau de Toilette  -  30 ml	₹199	For Men
84	SKINN by TITAN Skinn Womens Nude 50ml Eau de Parfum  - ...	₹1,595	For Women
85	THE MAN COMPANY Ombre Eau de Parfum  -  30 ml	₹253	For Men
86	Ahsan Attar Full Eau de Parfum  -  100 ml	₹265	For Men
87	THE MAN COMPANY Luxury Perfume Set with Rouge, Firewood...	₹379	For Men & Women
88	AXE Signature Gold Dark Vanilla & Oud Wood Eau de Toile...	₹351	For Men
89	Villain Mashup Combo - Classic 100ml, Hydra 100ml & Sna...	₹1,569	For Men
90	THE MAN COMPANY Probus EDT Eau de Toilette  -  30 ml	₹199	For Men
91	THE MAN COMPANY Luxury Perfume Set with Blanc, Firewood...	₹379	For Men & Women
92	one8 by Virat Kohli Blends Eau de toilette - Gold Eau d...	₹369	For Men
93	ENVY Women Perfume 30 ml(Pack of 4) Eau de Parfum  -  1...	₹420	For Women
94	ENVY Natural Spray Eau de Parfum  -  60 ml	₹210	For Women
95	THE MAN COMPANY Body Perfume Trio Set - (Noir Body Perf...	₹848	For Men
96	DENVER Sporting Club Rider Eau de Parfum  -  60 ml	₹220	For Men
97	La French Luxure Oudh Perfume with Long Lasting Fragran...	₹500	For Men & Women
98	ST-JOHN Cobra Limited Edition Men's Perfume, (60ml) Eau...	₹190	For Men & Women
99	THE MAN COMPANY Blanc & Rouge Body Perfume Combo Set Pe...	₹579	For Men & Women
100	Ajmal Neutron EDP Citrus Fruity Perfume 100ml for Men a...	₹2,250	For Men
101	ENVY Dark Pocket Perfume (Pack of 2) Eau de Parfum  -  ...	₹118	For Men
102	SKINN by TITAN verge Eau de Parfum  -  50 ml	₹1,495	For Men
103	GUESS Girl Eau de Toilette  -  100 ml	₹2,527	For Women
104	Villain Snake Perfume Eau de Parfum  -  100 ml	₹617	For Men
105	NAUTICA Classic Eau de Toilette  -  100 ml	₹957	For Men
106	USTRAA Cologne for Men- After Dark Perfume  -  100 ml	₹519	For Men
107	THE MAN COMPANY Talc Eau De Parfum Eau de Parfum  -  30...	₹199	For Men
108	Body Cupid Lily & Spice Eau de Parfum - Floral Collecti...	₹399	For Men & Women
109	Ajmal Titanium Eau de Parfum  -  100 ml	₹900	For Men
110	DENVER Black Code Natural Spray Perfume Eau de Parfum  ...	₹211	For Men
111	secret temptation Adore Eau de Parfum  -  50 ml	₹200	For Women
112	MINISO Color of life EDT Perfume for Women Long Lasting...	₹460	For Women
113	USTRAA Insignia - Perfume For Men - 100ml Perfume  -  1...	₹974	For Men
114	NAUTICA Blue Eau de Toilette  -  100 ml	₹1,069	For Men
115	THE MAN COMPANY Luxury Perfume Set with Bleu, Talc for ...	₹379	For Men & Women
116	SKINN by TITAN Titan Celeste Eau de Parfum  -  50 ml	₹1,595	For Women
117	SKINN by TITAN Skinn Verge Eau de Parfum  -  100 ml	₹2,295	For Men
118	JAGUAR FOR MEN Eau de Toilette  -  100 ml	₹1,475	For Men
119	USTRAA Cologne Spray Base Camp Perfume  -  100 ml	₹519	For Men
120	MINISO Color of life EDT Perfume for Women Long Lasting...	₹460	For Women
121	one8 by Virat Kohli Bleed Blue Eau de Parfum + Deo (Pac...	₹1,999	For Men
122	MINISO Color of life EDT Perfume for Women Long Lasting...	₹460	For Women
123	THE MAN COMPANY Bravio EDT Eau de Toilette  -  30 ml	₹199	For Men
124	ENVY Black Men Perfume Eau de Parfum  -  60 ml	₹199	For Men
125	AXE Signature Gold Iced Vetiver & Fresh Lavender Eau de...	₹336	For Men
126	Iba Halal Care Pure Perfume Gift Set (Rain Drops, Sweet...	₹956	For Women
127	THE MAN COMPANY Luxury Perfume Set with Rouge, Firewood...	₹379	For Men & Women
128	Ajmal Sacred Love EDP Floral Musky Perfume 50ml for Wom...	₹1,499	For Women
129	ENVY Women Perfume Eau de Parfum  -  30 ml	₹145	For Women
130	MINISO Newest Portable Perfume Soft Fresh for Travel Da...	₹200	For Women
131	THE MAN COMPANY Luxury Perfume Set with Blanc, Firewood...	₹379	For Men & Women
132	one8 by Virat Kohli Blends Eau de toilette - Bleu Eau d...	₹369	For Men
133	Ajmal NeutronEDP100MLMen Eau de Parfum  -  100 ml	₹900	For Men
134	one8 by Virat Kohli Blends Eau de toilette - Blanc Eau ...	₹385	For Men
135	THE MAN COMPANY Body Perfume Trio Set - (Noir Body Perf...	₹848	For Men
136	SKINN by TITAN Amalfi Bleu Eau de Parfum  -  30 ml	₹1,076	For Women
137	SKINN by TITAN Verge & Raw Eau de Parfum  -  50 ml	₹1,795	For Men
138	BEARDO Origin Perfume For Men Eau de Parfum  -  100 ml	₹499	For Men
139	THE MAN COMPANY Blanc & Rouge Body Perfume Combo Set Pe...	₹579	For Men & Women
140	Ajmal Evoke Gold Edition Him Eau de Parfum  -  90 ml	₹2,550	For Men
141	THE MAN COMPANY Ocean Eau de Parfum  -  30 ml	₹253	For Men
142	GUESS DARE Eau de Toilette  -  100 ml	₹1,875	For Women
143	THE MAN COMPANY Ombre Eau de Parfum  -  30 ml	₹253	For Men
144	Bella vita organic Luxury Perfume Gift Set with Long La...	₹499	For Men
145	Yardley London Gentleman Classic Daily Wear Perfume Eau...	₹584	For Men
146	SKINN by TITAN Titan Steele Eau de Parfum  -  100 ml	₹2,295	For Men
147	GUESS Girl Eau de Toilette  -  100 ml	₹2,527	For Women
148	Ajmal Shiro EDP 90ml Eau de Parfum  -  90 ml	₹1,650	For Men
149	Body Cupid Mr Wonderful Perfume Eau de Parfum  -  100 m...	₹399	For Men
150	DENVER SRK Autograph Collection- Mystic Ocean Eau de Pa...	₹899	For Men
151	secret temptation Adore Eau de Parfum  -  50 ml	₹200	For Women
152	ENVY Men Perfume & Dark Pocket Perfume Combo Eau de Par...	₹249	For Men
153	USTRAA Cologne Spray - Ammunition Perfume  -  100 ml	₹519	For Men
154	JAGUAR Classic Gold Eau de Toilette  -  100 ml	₹1,320	For Men
155	THE MAN COMPANY Luxury Perfume Set with Bleu, Talc for ...	₹379	For Men & Women
156	DENVER Black Code Pocket Perfume (Pack of 4) Eau de Par...	₹213	For Men
157	Ajmal Shadow HIM EDP Spicy Woody Perfume 75ml for Men a...	₹2,625	For Men
158	MINISO 30 ml Women Lady Perfume - Blooming Eau de Toile...	₹360	For Women
159	THE MAN COMPANY Talc Eau De Parfum Eau de Parfum  -  30...	₹199	For Men
